"type","x","y","wc2.1_30s_bio_1","wc2.1_30s_bio_10","wc2.1_30s_bio_11","wc2.1_30s_bio_12","wc2.1_30s_bio_13","wc2.1_30s_bio_14","wc2.1_30s_bio_15","wc2.1_30s_bio_16","wc2.1_30s_bio_17","wc2.1_30s_bio_18","wc2.1_30s_bio_19","wc2.1_30s_bio_2","wc2.1_30s_bio_3","wc2.1_30s_bio_4","wc2.1_30s_bio_5","wc2.1_30s_bio_6","wc2.1_30s_bio_7","wc2.1_30s_bio_8","wc2.1_30s_bio_9","wc2.1_30s_elev","pest","distriver1","distriver2","distriver3","rivtype","distlake","distshore","agpot","distblack","distclear","distwhite","npp","T_SILT","phsoil","T_GRAVEL","S_CEC_CLAY","T_PH_H2O","S_SAND","S_GRAVEL","mgs","nure","nuav","rug","nitrogen","bdod","cec","cfvo","clay","phh2o","sand","silt","soc","phos","smn30cm","smc30cm","T_C","S_C","T_OC","S_OC","AWT_S_OC","AWT_T_OC","AWC","T_CEC_CLAY","T_BULK_DEN","S_BULK_DEN"
"earthwork",-67.694,-10.302,25.34166718,26.04999924,24.11666679,1659,216,50,43.70498276,632,190,498,196,10.43333244,70.02237701,84.12203217,32.09999847,17.20000076,14.89999771,25.73333359,24.18333435,208,201.8286578,701960.5653,596820.0971,131009.1046,"white",345967.5999,878598.6776,0.066,134843.8666,140541.9088,14590.73095,1024.900024,41,5.2,0,13,5,37,1,11,2,3,5.375,3.23,1.23,14.7,5.1,22.6,4.7,40.3,37.1,35.4,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.727,-10.4131,25.39999962,26.13333321,24.18333244,1659,223,47,46.53038025,643,172,505,184,10.44999981,70.13421631,84.28846741,32.20000076,17.29999924,14.90000153,25.78333282,24.23333359,210,196.1266675,712415.8169,585979.8489,119093.7692,"white",337399.0571,866394.4863,0.066,146032.7947,129930.0827,17930.02245,1024.900024,35,5.2,0,13,5,37,1,11,2,3,5.125,2.77,1.22,12.4,3,22.5,4.8,43.4,34.1,27.1,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.4,1.36
"earthwork",-67.65,-10.2964,25.45000076,26.16666603,24.25,1672,217,51,43.34119415,636,192,499,201,10.48333359,70.35793304,82.6548233,32.20000076,17.29999924,14.90000153,25.81666756,24.31666565,190,201.2307877,702826.1901,600788.094,130346.392,"white",344147.9165,881838.9914,0.066,130966.834,139913.8799,19011.98411,1024.900024,41,5.2,0,13,5,37,1,11,2,3,4.125,3.62,1.2,14.6,6.8,22,4.8,38.5,39.6,34.7,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.693,-10.4276,25.42499924,26.14999962,24.21666718,1687,225,48,45.76189423,650,177,511,188,10.51666641,70.58164978,83.67958832,32.20000076,17.29999924,14.90000153,25.79999924,24.28333282,215,194.8303463,715143.8501,587750.3072,117093.7812,"white",334076.8324,867205.621,0.066,144622.9144,127213.6424,21921.11514,1024.900024,35,5.2,0,13,5,37,1,11,2,3,4,2.47,1.24,14.2,3.9,24.8,4.7,43.1,32.1,27.5,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.4,1.36
"earthwork",-68.012,-10.0011,25.07500076,25.81666565,23.79999924,1674,210,58,40.77998734,624,210,496,214,10.61666679,70.77777863,88.15018463,31.79999924,16.79999924,15,25.53333282,23.83333397,196,230.1481189,658938.0649,594864.8242,103683.2207,"white",392867.4564,887527.4701,0.066,117828.5967,184182.6994,16169.38466,1053.800049,35,4.5,0,20,4.6,20,1,11,2,3,6,2.98,1.21,13.6,3,25.2,4.8,32.3,42.5,37,206.9999847,104,63.52170181,3.942,3.6442,0.9,0.38,4.18642,4.73778,1,16,1.4,1.37
"earthwork",-67.674,-9.979,25.34583282,26.03333282,24.11666679,1663,208,58,39.21776962,616,213,484,221,10.39166641,70.21396637,84.51622772,32.09999847,17.29999924,14.79999924,25.76666641,24.16666603,157,219.0384776,668703.433,622837.1019,113122.9987,"white",376135.8256,909609.6474,0.066,111545.8151,174785.3369,3054.324264,1056.300049,41,4.5,0,14,4.6,29,1,11,3,3,3.375,2.85,1.19,12.1,4.4,27.8,4.9,17.8,54.4,30.5,206.9999847,104,63.56439972,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.689,-10.3618,25.36666679,26.06666565,24.16666603,1680,220,49,44.40727615,642,185,429,194,10.51666641,70.11110687,82.85620117,32.20000076,17.20000076,15,25.75,24.23333359,218,198.4172966,708153.7471,592860.0048,124566.3078,"white",340294.0071,873525.4343,0.066,139034.0048,134284.4474,17676.27659,1024.900024,35,5.2,0,13,5,37,1,11,2,3,5.125,2.8004,1.2264,14.438,5.32,25.038,4.7,40.084,34.878,30.788,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.4,1.36
"earthwork",-67.716,-10.262,25.25833321,25.98333359,24.03333282,1660,213,53,42.32550812,626,198,495,202,10.33333302,70.29479218,84.84832001,31.89999962,17.20000076,14.69999886,25.66666603,24.08333397,211,204.5481271,696596.516,598009.4656,135996.3813,"white",351423.5489,881017.7844,0.066,133659.5729,145871.3616,10948.70769,1024.900024,41,5.074,0,14,4.937,37,1,11,2,3,5.375,2.9216,1.2416,14.408,6.276,24.114,4.716,35.59,40.296,30.91,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.722,-10.2556,25.25416756,25.98333359,24,1646,211,53,42.38003159,621,197,491,200,10.27499962,69.89796448,86.45696259,31.89999962,17.20000076,14.69999886,25.66666603,24.05000114,209,205.0486182,696078.4494,598003.1491,136446.8124,"white",351974.4748,881142.8611,0.066,133680.357,146378.9522,10467.61964,1024.900024,41,4.9,0,14,4.85,37,1,11,2,3,5.375,2.91,1.23,15.8,5,25.1,4.6,26.6,48.3,34.1,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.42,1.36
"earthwork",-67.666,-10.2436,25.37916756,26.08333397,24.16666603,1637,213,51,43.46219635,625,191,413,199,10.50833321,70.05555725,83.70560455,32.20000076,17.20000076,15,25.78333282,24.21666718,196,204.4187127,696789.9186,603458.4209,136345.6179,"white",349987.4066,885712.9788,0.066,128175.5233,145962.3359,16295.17229,1024.900024,41,5.2,0,13,5,37,1,11,2,3,4.75,3.12,1.19,16.1,8.8,22.7,5,35.5,41.9,49.6,206.9999847,104,67.51599884,5.22,3.1892,1.16,0.34,4.18642,5.63655,1,16,1.42,1.36
